"gender","year","home_team","away_team","home_score","home_xg","home_penalty","away_score","away_xg","away_penalty","home_manager","away_manager","attendance","venue","round","date","score","referee"
"M",2018,"Sweden","Switzerland",1,1.3,NA,0,0.7,NA,"Janne Andersson","Vladimir Petković",64042,"Gazprom Arena, Sankt-Petersburg","Round of 16","2018-07-03","1–0","Damir Skomina"
"M",2018,"Colombia","England",1,0.6,3,1,2.1,4,"José Pekerman","Gareth Southgate",44190,"Otkrytie Arena, Moskva","Round of 16","2018-07-03","(3) 1–1 (4)","Mark Geiger"
"M",2018,"Brazil","Mexico",2,2.7,NA,0,0.7,NA,"Tite","Juan Carlos Osorio",41970,"Cosmos Arena, Samara","Round of 16","2018-07-02","2–0","Gianluca Rocchi"
"M",2018,"Belgium","Japan",3,2.5,NA,2,0.7,NA,"Roberto Martínez","Akira Nishino",41466,"Rostov Arena, Rostov-na-Donu","Round of 16","2018-07-02","3–2","Malang Diédhiou"
"M",2018,"Spain","Russia",1,1.8,3,1,1,4,"Fernando Hierro","Stanislav Cherchesov",78011,"Olimpiyskiy stadion Luzhniki, Moskva","Round of 16","2018-07-01","(3) 1–1 (4)","Björn Kuipers"
"M",2018,"Croatia","Denmark",1,2.5,3,1,0.9,2,"Zlatko Dalić","Åge Hareide",40851,"Stadion Nizhny Novgorod, Nizhny Novgorod","Round of 16","2018-07-01","(3) 1–1 (2)","Néstor Pitana"
"M",2018,"France","Argentina",4,2.2,NA,3,0.8,NA,"Didier Deschamps","Jorge Sampaoli",42873,"Kazan Arena, Kazan","Round of 16","2018-06-30","4–3","Alireza Faghani"
"M",2018,"Uruguay","Portugal",2,0.6,NA,1,1,NA,"Óscar Tabárez","Fernando Santos",44287,"Olimpiyskiy Stadion Fisht, Sochi","Round of 16","2018-06-30","2–1","César Arturo Ramos"
"M",2018,"Japan","Poland",0,0.7,NA,1,1.4,NA,"Akira Nishino","Adam Nawałka",42189,"Volgograd Arena, Volgograd","Group stage","2018-06-28","0–1","Janny Sikazwe"
"M",2018,"Senegal","Colombia",0,0.5,NA,1,0.3,NA,"Aliou Cissé","José Pekerman",41970,"Cosmos Arena, Samara","Group stage","2018-06-28","0–1","Milorad Mažić"
"M",2018,"England","Belgium",0,0.9,NA,1,1.3,NA,"Gareth Southgate","Roberto Martínez",33973,"Kaliningrad Stadium, Kaliningrad","Group stage","2018-06-28","0–1","Damir Skomina"
"M",2018,"Panama","Tunisia",1,0.6,NA,2,2.1,NA,"Hernán Darío Gómez","Nabil Maâloul",37168,"Mordovia Arena, Saransk","Group stage","2018-06-28","1–2","Nawaf Shukralla"
"M",2018,"Korea Republic","Germany",2,1.7,NA,0,2.7,NA,"Shin Taeyong","Joachim Löw",41835,"Kazan Arena, Kazan","Group stage","2018-06-27","2–0","Mark Geiger"
"M",2018,"Mexico","Sweden",0,1.4,NA,3,2.4,NA,"Juan Carlos Osorio","Janne Andersson",33061,"Stadion Central'nyj, Yekaterinburg","Group stage","2018-06-27","0–3","Néstor Pitana"
"M",2018,"Switzerland","Costa Rica",2,1.4,NA,2,1.5,NA,"Vladimir Petković","Oscar Ramírez",43319,"Stadion Nizhny Novgorod, Nizhny Novgorod","Group stage","2018-06-27","2–2","Clément Turpin"
"M",2018,"Serbia","Brazil",0,0.8,NA,2,1.4,NA,"Mladen Krstajić","Tite",44190,"Otkrytie Arena, Moskva","Group stage","2018-06-27","0–2","Alireza Faghani"
"M",2018,"Australia","Peru",0,0.9,NA,2,0.2,NA,"Bert van Marwijk","Ricardo Gareca",44073,"Olimpiyskiy Stadion Fisht, Sochi","Group stage","2018-06-26","0–2","Sergey Karasev"
"M",2018,"Denmark","France",0,0.2,NA,0,0.4,NA,"Åge Hareide","Didier Deschamps",78011,"Olimpiyskiy stadion Luzhniki, Moskva","Group stage","2018-06-26","0–0","Sandro Ricci"
"M",2018,"Iceland","Croatia",1,2.1,NA,2,0.7,NA,"Heimir Hallgrímsson","Zlatko Dalić",43472,"Rostov Arena, Rostov-na-Donu","Group stage","2018-06-26","1–2","Antonio Matéu Lahoz"
"M",2018,"Nigeria","Argentina",1,1.4,NA,2,0.9,NA,"Gernot Rohr","Jorge Sampaoli",64468,"Gazprom Arena, Sankt-Petersburg","Group stage","2018-06-26","1–2","Cüneyt Çakιr"
"M",2018,"Saudi Arabia","Egypt",2,2.6,NA,1,0.8,NA,"Juan Antonio Pizzi","Héctor Cúper",36823,"Volgograd Arena, Volgograd","Group stage","2018-06-25","2–1","Wilmar Roldán"
"M",2018,"Uruguay","Russia",3,2.4,NA,0,0.1,NA,"Óscar Tabárez","Stanislav Cherchesov",41970,"Cosmos Arena, Samara","Group stage","2018-06-25","3–0","Malang Diédhiou"
"M",2018,"Spain","Morocco",2,2.9,NA,2,1.2,NA,"Fernando Hierro","Hervé Renard",33973,"Kaliningrad Stadium, Kaliningrad","Group stage","2018-06-25","2–2","Ravshan Irmatov"
"M",2018,"IR Iran","Portugal",1,1.4,NA,1,1.3,NA,"Carlos Queiroz","Fernando Santos",41685,"Mordovia Arena, Saransk","Group stage","2018-06-25","1–1","Enrique Cáceres"
"M",2018,"England","Panama",6,2.8,NA,1,1.1,NA,"Gareth Southgate","Hernán Darío Gómez",43319,"Stadion Nizhny Novgorod, Nizhny Novgorod","Group stage","2018-06-24","6–1","Gehad Grisha"
"M",2018,"Japan","Senegal",2,0.9,NA,2,1.4,NA,"Akira Nishino","Aliou Cissé",32572,"Stadion Central'nyj, Yekaterinburg","Group stage","2018-06-24","2–2","Gianluca Rocchi"
"M",2018,"Poland","Colombia",0,1.1,NA,3,2.1,NA,"Adam Nawałka","José Pekerman",42873,"Kazan Arena, Kazan","Group stage","2018-06-24","0–3","César Arturo Ramos"
"M",2018,"Belgium","Tunisia",5,5.2,NA,2,1.1,NA,"Roberto Martínez","Nabil Maâloul",44190,"Otkrytie Arena, Moskva","Group stage","2018-06-23","5–2","Jair Marrufo"
"M",2018,"Korea Republic","Mexico",1,0.9,NA,2,1.9,NA,"Shin Taeyong","Juan Carlos Osorio",43472,"Rostov Arena, Rostov-na-Donu","Group stage","2018-06-23","1–2","Milorad Mažić"
"M",2018,"Germany","Sweden",2,1.4,NA,1,0.9,NA,"Joachim Löw","Janne Andersson",44287,"Olimpiyskiy Stadion Fisht, Sochi","Group stage","2018-06-23","2–1","Szymon Marciniak"
"M",2018,"Brazil","Costa Rica",2,2.6,NA,0,0.1,NA,"Tite","Oscar Ramírez",64468,"Gazprom Arena, Sankt-Petersburg","Group stage","2018-06-22","2–0","Björn Kuipers"
"M",2018,"Nigeria","Iceland",2,0.9,NA,0,1.3,NA,"Gernot Rohr","Heimir Hallgrímsson",40904,"Volgograd Arena, Volgograd","Group stage","2018-06-22","2–0","Matt Conger"
"M",2018,"Serbia","Switzerland",1,1.5,NA,2,2.1,NA,"Mladen Krstajić","Vladimir Petković",33167,"Kaliningrad Stadium, Kaliningrad","Group stage","2018-06-22","1–2","Felix Brych"
"M",2018,"Denmark","Australia",1,0.8,NA,1,1.3,NA,"Åge Hareide","Bert van Marwijk",40727,"Cosmos Arena, Samara","Group stage","2018-06-21","1–1","Antonio Matéu Lahoz"
"M",2018,"France","Peru",1,2,NA,0,0.4,NA,"Didier Deschamps","Ricardo Gareca",32789,"Stadion Central'nyj, Yekaterinburg","Group stage","2018-06-21","1–0","Mohammed Abdulla Hassan"
"M",2018,"Argentina","Croatia",0,1.3,NA,3,1.9,NA,"Jorge Sampaoli","Zlatko Dalić",43319,"Stadion Nizhny Novgorod, Nizhny Novgorod","Group stage","2018-06-21","0–3","Ravshan Irmatov"
"M",2018,"Portugal","Morocco",1,1.2,NA,0,0.9,NA,"Fernando Santos","Hervé Renard",78011,"Olimpiyskiy stadion Luzhniki, Moskva","Group stage","2018-06-20","1–0","Mark Geiger"
"M",2018,"Uruguay","Saudi Arabia",1,1.7,NA,0,0.3,NA,"Óscar Tabárez","Juan Antonio Pizzi",42678,"Rostov Arena, Rostov-na-Donu","Group stage","2018-06-20","1–0","Clément Turpin"
"M",2018,"IR Iran","Spain",0,0.7,NA,1,1.9,NA,"Carlos Queiroz","Fernando Hierro",42718,"Kazan Arena, Kazan","Group stage","2018-06-20","0–1","Andrés Cunha"
"M",2018,"Colombia","Japan",1,1,NA,2,2,NA,"José Pekerman","Akira Nishino",40842,"Mordovia Arena, Saransk","Group stage","2018-06-19","1–2","Damir Skomina"
"M",2018,"Poland","Senegal",1,0.8,NA,2,1,NA,"Adam Nawałka","Aliou Cissé",44190,"Otkrytie Arena, Moskva","Group stage","2018-06-19","1–2","Nawaf Shukralla"
"M",2018,"Russia","Egypt",3,1.2,NA,1,1.4,NA,"Stanislav Cherchesov","Héctor Cúper",64468,"Gazprom Arena, Sankt-Petersburg","Group stage","2018-06-19","3–1","Enrique Cáceres"
"M",2018,"Sweden","Korea Republic",1,2.3,NA,0,0.3,NA,"Janne Andersson","Shin Taeyong",42300,"Stadion Nizhny Novgorod, Nizhny Novgorod","Group stage","2018-06-18","1–0","Joel Aguilar"
"M",2018,"Belgium","Panama",3,2,NA,0,0.5,NA,"Roberto Martínez","Hernán Darío Gómez",43257,"Olimpiyskiy Stadion Fisht, Sochi","Group stage","2018-06-18","3–0","Janny Sikazwe"
"M",2018,"Tunisia","England",1,1,NA,2,2.8,NA,"Nabil Maâloul","Gareth Southgate",41064,"Volgograd Arena, Volgograd","Group stage","2018-06-18","1–2","Wilmar Roldán"
"M",2018,"Costa Rica","Serbia",0,0.9,NA,1,0.9,NA,"Oscar Ramírez","Mladen Krstajić",41432,"Cosmos Arena, Samara","Group stage","2018-06-17","0–1","Malang Diédhiou"
"M",2018,"Germany","Mexico",0,1.4,NA,1,1.3,NA,"Joachim Löw","Juan Carlos Osorio",78011,"Olimpiyskiy stadion Luzhniki, Moskva","Group stage","2018-06-17","0–1","Alireza Faghani"
"M",2018,"Brazil","Switzerland",1,2.2,NA,1,0.9,NA,"Tite","Vladimir Petković",43109,"Rostov Arena, Rostov-na-Donu","Group stage","2018-06-17","1–1","César Ramos"
"M",2018,"France","Australia",2,1.3,NA,1,1,NA,"Didier Deschamps","Bert van Marwijk",41279,"Kazan Arena, Kazan","Group stage","2018-06-16","2–1","Andrés Cunha"
"M",2018,"Argentina","Iceland",1,1.9,NA,1,1,NA,"Jorge Sampaoli","Heimir Hallgrímsson",44190,"Otkrytie Arena, Moskva","Group stage","2018-06-16","1–1","Szymon Marciniak"
"M",2018,"Peru","Denmark",0,1.7,NA,1,1,NA,"Ricardo Gareca","Åge Hareide",40502,"Mordovia Arena, Saransk","Group stage","2018-06-16","0–1","Bakary Papa Gassama"
"M",2018,"Croatia","Nigeria",2,1.5,NA,0,0.7,NA,"Zlatko Dalić","Gernot Rohr",31136,"Kaliningrad Stadium, Kaliningrad","Group stage","2018-06-16","2–0","Sandro Ricci"
"M",2018,"Egypt","Uruguay",0,0.3,NA,1,1.6,NA,"Héctor Cúper","Óscar Tabárez",27015,"Stadion Central'nyj, Yekaterinburg","Group stage","2018-06-15","0–1","Björn Kuipers"
"M",2018,"Morocco","IR Iran",0,0.7,NA,1,1,NA,"Hervé Renard","Carlos Queiroz",62548,"Gazprom Arena, Sankt-Petersburg","Group stage","2018-06-15","0–1","Cüneyt Çakιr"
"M",2018,"Portugal","Spain",3,1.2,NA,3,1.6,NA,"Fernando Santos","Fernando Hierro",43866,"Olimpiyskiy Stadion Fisht, Sochi","Group stage","2018-06-15","3–3","Gianluca Rocchi"
"M",2018,"Russia","Saudi Arabia",5,1.7,NA,0,0.2,NA,"Stanislav Cherchesov","Juan Antonio Pizzi",78011,"Olimpiyskiy stadion Luzhniki, Moskva","Group stage","2018-06-14","5–0","Néstor Pitana"
"M",2014,"Germany","Argentina",1,NA,NA,0,NA,NA,"Joachim Löw","Alejandro Sabella",74738,"Estadio Jornalista Mário Filho, Rio de Janeiro","Final","2014-07-13","1–0","Nicola Rizzoli"
"M",2014,"Brazil","Netherlands",0,NA,NA,3,NA,NA,"Luiz Felipe Scolari","Louis van Gaal",68034,"Estádio Nacional de Brasília, Brasília","Third-place match","2014-07-12","0–3","Djamel Haïmoudi"
"M",2014,"Netherlands","Argentina",0,NA,2,0,NA,4,"Louis van Gaal","Alejandro Sabella",63267,"Arena Corinthians, São Paulo","Semi-finals","2014-07-09","(2) 0–0 (4)","Cüneyt Çakιr"
"M",2014,"Brazil","Germany",1,NA,NA,7,NA,NA,"Luiz Felipe Scolari","Joachim Löw",58141,"Estádio Governador Magalhães Pinto, Belo Horizonte","Semi-finals","2014-07-08","1–7","Marco Antonio Rodríguez"
